input,State
p:med,Critical
"p:med,p:med",Critical
"p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med",Caution
