input,State
t:med,Critical
"t:med,t:med",Critical
"t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Caution
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
"t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med,t:med",Critical
