method,learning_set,configuration,states,transitions,alphabet_size,alphabet,csv,trace_csv,trace_txt,state_machine_dot,summary,pdf_written
MELA,ascend,pitchwheel,53,106,3,p:high; p:low; p:med,Data/Autopilot/Abstraction/MELA/ascend/pitchwheel.csv,Data/Autopilot/Trace/MELA/ascend/pitchwheel.csv,Data/Autopilot/Trace/MELA/ascend/pitchwheel.txt,Results/Autopilot/LearnedModel/MELA/ascend/gsm_models/pitchwheel_model.dot,Results/Autopilot/LearnedModel/MELA/ascend/gsm_models/pitchwheel_model_summary.txt,True
MELA,ascend,throttle,133,163,2,t:high; t:low,Data/Autopilot/Abstraction/MELA/ascend/throttle.csv,Data/Autopilot/Trace/MELA/ascend/throttle.csv,Data/Autopilot/Trace/MELA/ascend/throttle.txt,Results/Autopilot/LearnedModel/MELA/ascend/gsm_models/throttle_model.dot,Results/Autopilot/LearnedModel/MELA/ascend/gsm_models/throttle_model_summary.txt,True
MELA,ascend,pitchwheel_throttle,53,125,4,p:high t:high; p:high t:low; p:low t:low; p:med t:low,Data/Autopilot/Abstraction/MELA/ascend/pitchwheel_throttle.csv,Data/Autopilot/Trace/MELA/ascend/pitchwheel_throttle.csv,Data/Autopilot/Trace/MELA/ascend/pitchwheel_throttle.txt,Results/Autopilot/LearnedModel/MELA/ascend/gsm_models/pitchwheel_throttle_model.dot,Results/Autopilot/LearnedModel/MELA/ascend/gsm_models/pitchwheel_throttle_model_summary.txt,True
MELA,descend,pitchwheel,40,65,3,p:high; p:low; p:med,Data/Autopilot/Abstraction/MELA/descend/pitchwheel.csv,Data/Autopilot/Trace/MELA/descend/pitchwheel.csv,Data/Autopilot/Trace/MELA/descend/pitchwheel.txt,Results/Autopilot/LearnedModel/MELA/descend/gsm_models/pitchwheel_model.dot,Results/Autopilot/LearnedModel/MELA/descend/gsm_models/pitchwheel_model_summary.txt,True
MELA,descend,throttle,126,169,2,t:high; t:low,Data/Autopilot/Abstraction/MELA/descend/throttle.csv,Data/Autopilot/Trace/MELA/descend/throttle.csv,Data/Autopilot/Trace/MELA/descend/throttle.txt,Results/Autopilot/LearnedModel/MELA/descend/gsm_models/throttle_model.dot,Results/Autopilot/LearnedModel/MELA/descend/gsm_models/throttle_model_summary.txt,True
MELA,descend,pitchwheel_throttle,40,75,6,p:high t:high; p:high t:low; p:low t:high; p:low t:low; p:med t:high; p:med t:low,Data/Autopilot/Abstraction/MELA/descend/pitchwheel_throttle.csv,Data/Autopilot/Trace/MELA/descend/pitchwheel_throttle.csv,Data/Autopilot/Trace/MELA/descend/pitchwheel_throttle.txt,Results/Autopilot/LearnedModel/MELA/descend/gsm_models/pitchwheel_throttle_model.dot,Results/Autopilot/LearnedModel/MELA/descend/gsm_models/pitchwheel_throttle_model_summary.txt,True
Baseline,ascend,pitchwheel,76,135,3,p:high; p:low; p:med,Data/Autopilot/Abstraction/Baseline/ascend/pitchwheel.csv,Data/Autopilot/Trace/Baseline/ascend/pitchwheel.csv,Data/Autopilot/Trace/Baseline/ascend/pitchwheel.txt,Results/Autopilot/LearnedModel/Baseline/ascend/gsm_models/pitchwheel_model.dot,Results/Autopilot/LearnedModel/Baseline/ascend/gsm_models/pitchwheel_model_summary.txt,True
Baseline,ascend,throttle,180,180,1,t:high,Data/Autopilot/Abstraction/Baseline/ascend/throttle.csv,Data/Autopilot/Trace/Baseline/ascend/throttle.csv,Data/Autopilot/Trace/Baseline/ascend/throttle.txt,Results/Autopilot/LearnedModel/Baseline/ascend/gsm_models/throttle_model.dot,Results/Autopilot/LearnedModel/Baseline/ascend/gsm_models/throttle_model_summary.txt,True
Baseline,ascend,pitchwheel_throttle,76,135,3,p:high t:high; p:low t:high; p:med t:high,Data/Autopilot/Abstraction/Baseline/ascend/pitchwheel_throttle.csv,Data/Autopilot/Trace/Baseline/ascend/pitchwheel_throttle.csv,Data/Autopilot/Trace/Baseline/ascend/pitchwheel_throttle.txt,Results/Autopilot/LearnedModel/Baseline/ascend/gsm_models/pitchwheel_throttle_model.dot,Results/Autopilot/LearnedModel/Baseline/ascend/gsm_models/pitchwheel_throttle_model_summary.txt,True
Baseline,descend,pitchwheel,59,86,2,p:high; p:med,Data/Autopilot/Abstraction/Baseline/descend/pitchwheel.csv,Data/Autopilot/Trace/Baseline/descend/pitchwheel.csv,Data/Autopilot/Trace/Baseline/descend/pitchwheel.txt,Results/Autopilot/LearnedModel/Baseline/descend/gsm_models/pitchwheel_model.dot,Results/Autopilot/LearnedModel/Baseline/descend/gsm_models/pitchwheel_model_summary.txt,True
Baseline,descend,throttle,178,178,1,t:high,Data/Autopilot/Abstraction/Baseline/descend/throttle.csv,Data/Autopilot/Trace/Baseline/descend/throttle.csv,Data/Autopilot/Trace/Baseline/descend/throttle.txt,Results/Autopilot/LearnedModel/Baseline/descend/gsm_models/throttle_model.dot,Results/Autopilot/LearnedModel/Baseline/descend/gsm_models/throttle_model_summary.txt,True
Baseline,descend,pitchwheel_throttle,59,86,2,p:high t:high; p:med t:high,Data/Autopilot/Abstraction/Baseline/descend/pitchwheel_throttle.csv,Data/Autopilot/Trace/Baseline/descend/pitchwheel_throttle.csv,Data/Autopilot/Trace/Baseline/descend/pitchwheel_throttle.txt,Results/Autopilot/LearnedModel/Baseline/descend/gsm_models/pitchwheel_throttle_model.dot,Results/Autopilot/LearnedModel/Baseline/descend/gsm_models/pitchwheel_throttle_model_summary.txt,True
