method,mode,accuracy,correct_steps,total_steps
MELA,pitchwheel_throttle,100.0,5,5
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel_throttle,100.0,18,18
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel,100.0,5,5
MELA,pitchwheel,100.0,1,1
MELA,pitchwheel,100.0,18,18
MELA,pitchwheel,100.0,1,1
MELA,pitchwheel,100.0,1,1
MELA,pitchwheel,100.0,1,1
MELA,throttle,100.0,5,5
MELA,throttle,100.0,1,1
MELA,throttle,100.0,18,18
MELA,throttle,100.0,1,1
MELA,throttle,100.0,1,1
MELA,throttle,100.0,1,1
Baseline,pitchwheel_throttle,100.0,5,5
Baseline,pitchwheel_throttle,0.0,0,1
Baseline,pitchwheel_throttle,0.0,0,18
Baseline,pitchwheel_throttle,0.0,0,1
Baseline,pitchwheel_throttle,0.0,0,1
Baseline,pitchwheel_throttle,0.0,0,1
Baseline,pitchwheel,100.0,5,5
Baseline,pitchwheel,100.0,1,1
Baseline,pitchwheel,0.0,0,18
Baseline,pitchwheel,0.0,0,1
Baseline,pitchwheel,0.0,0,1
Baseline,pitchwheel,0.0,0,1
Baseline,throttle,100.0,5,5
Baseline,throttle,0.0,0,1
Baseline,throttle,0.0,0,18
Baseline,throttle,0.0,0,1
Baseline,throttle,0.0,0,1
Baseline,throttle,0.0,0,1
