mode,mela_accuracy,manual_accuracy,accuracy_diff
pitchwheel_throttle,100.0,100.0,0.0
pitchwheel_throttle,100.0,0.0,100.0
pitchwheel_throttle,100.0,0.0,100.0
pitchwheel_throttle,100.0,0.0,100.0
pitchwheel_throttle,87.5,0.0,87.5
pitchwheel_throttle,0.0,0.0,0.0
pitchwheel,100.0,100.0,0.0
pitchwheel,100.0,0.0,100.0
pitchwheel,100.0,0.0,100.0
pitchwheel,100.0,0.0,100.0
pitchwheel,87.5,0.0,87.5
pitchwheel,0.0,0.0,0.0
throttle,100.0,100.0,0.0
throttle,100.0,100.0,0.0
throttle,100.0,0.0,100.0
throttle,100.0,0.0,100.0
throttle,87.5,0.0,87.5
throttle,0.0,0.0,0.0
