command,rule,input_label,gsm_ag_result,gsm_ef_result,gsm_final_result,pta_ag_result,pta_ef_result,pta_final_result,same_result
Ascent,CR_not_CA,p_low_t_low,TRUE,TRUE,PASS,TRUE,TRUE,PASS,YES
Ascent,CA_not_N,p_low_t_low,TRUE,TRUE,PASS,TRUE,TRUE,PASS,YES
Ascent,CR_not_CA,p_low_t_high,TRUE,FALSE,VACUOUS,TRUE,FALSE,VACUOUS,YES
Ascent,CA_not_N,p_low_t_high,TRUE,FALSE,VACUOUS,TRUE,FALSE,VACUOUS,YES
Ascent,CR_not_CA,p_med_t_low,FALSE,TRUE,VIOLATION,FALSE,TRUE,VIOLATION,YES
Ascent,CA_not_N,p_med_t_low,FALSE,TRUE,VIOLATION,FALSE,TRUE,VIOLATION,YES
Ascent,CR_not_CA,p_med_t_high,TRUE,FALSE,VACUOUS,TRUE,FALSE,VACUOUS,YES
Ascent,CA_not_N,p_med_t_high,TRUE,FALSE,VACUOUS,TRUE,FALSE,VACUOUS,YES
Ascent,CR_not_CA,p_high_t_low,FALSE,TRUE,VIOLATION,FALSE,TRUE,VIOLATION,YES
Ascent,CA_not_N,p_high_t_low,TRUE,TRUE,PASS,TRUE,TRUE,PASS,YES
Ascent,CR_not_CA,p_high_t_high,FALSE,TRUE,VIOLATION,FALSE,TRUE,VIOLATION,YES
Ascent,CA_not_N,p_high_t_high,FALSE,TRUE,VIOLATION,FALSE,TRUE,VIOLATION,YES
Descent,CR_not_CA,p_low_t_low,FALSE,TRUE,VIOLATION,FALSE,TRUE,VIOLATION,YES
Descent,CA_not_N,p_low_t_low,FALSE,TRUE,VIOLATION,FALSE,TRUE,VIOLATION,YES
Descent,CR_not_CA,p_low_t_high,TRUE,FALSE,VACUOUS,TRUE,FALSE,VACUOUS,YES
Descent,CA_not_N,p_low_t_high,FALSE,TRUE,VIOLATION,FALSE,TRUE,VIOLATION,YES
Descent,CR_not_CA,p_med_t_low,TRUE,TRUE,PASS,TRUE,TRUE,PASS,YES
Descent,CA_not_N,p_med_t_low,TRUE,TRUE,PASS,TRUE,TRUE,PASS,YES
Descent,CR_not_CA,p_med_t_high,TRUE,FALSE,VACUOUS,TRUE,FALSE,VACUOUS,YES
Descent,CA_not_N,p_med_t_high,TRUE,TRUE,PASS,TRUE,TRUE,PASS,YES
Descent,CR_not_CA,p_high_t_low,TRUE,TRUE,PASS,TRUE,TRUE,PASS,YES
Descent,CA_not_N,p_high_t_low,TRUE,FALSE,VACUOUS,TRUE,FALSE,VACUOUS,YES
Descent,CR_not_CA,p_high_t_high,TRUE,TRUE,PASS,TRUE,TRUE,PASS,YES
Descent,CA_not_N,p_high_t_high,TRUE,TRUE,PASS,TRUE,TRUE,PASS,YES
